@RELATION stories
@ATTRIBUTE total_characters  NUMERIC
@ATTRIBUTE main_characters   NUMERIC
@ATTRIBUTE secondary_characters  NUMERIC
@ATTRIBUTE ratio_characters   NUMERIC
@ATTRIBUTE length   NUMERIC
@ATTRIBUTE total_facts   NUMERIC
@ATTRIBUTE ratio_characters_facts   NUMERIC
@ATTRIBUTE evolution   NUMERIC
@ATTRIBUTE main_character_actions   NUMERIC
@ATTRIBUTE total_actions   NUMERIC
@ATTRIBUTE ratio_actions   NUMERIC
@ATTRIBUTE love_level   NUMERIC
@ATTRIBUTE hate_level   NUMERIC
@ATTRIBUTE drama_level   NUMERIC
@ATTRIBUTE fun_level   NUMERIC
@ATTRIBUTE plausibility   NUMERIC
@ATTRIBUTE has_date   NUMERIC
@ATTRIBUTE has_time   NUMERIC
@ATTRIBUTE has_weather   NUMERIC
@DATA
2,2,0,1,10,4,0.5,1,3,3,1,0,0,0,0,0.5,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,0,1,0,0.25,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,0,2,1,0.25,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,0,2,1,0.25,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,0,3,2,0.25,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,5,1,0,0.2,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,3,3,2,0.2,0,0,0
2,2,0,1,13,4,0.5,1,4,4,1,0,6,1,0,0.2,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,3,3,2,0.2,0,0,0
2,2,0,1,13,4,0.5,1,3,3,1,0,1,5,4,0.2,0,0,0
2,2,0,1,13,4,0.5,1,4,4,1,0,4,3,2,0.2,0,0,0
2,2,0,1,13,4,0.5,1,4,4,1,0,6,1,0,0.2,0,0,0
2,2,0,1,13,4,0.5,1,4,4,1,0,4,3,2,0.2,0,0,0
2,2,0,1,13,4,0.5,1,5,5,1,0,7,1,0,0.2,0,0,0
2,2,0,1,13,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,0
2,2,0,1,13,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,0
2,2,0,1,13,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,0
2,2,0,1,13,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,0
2,2,0,1,13,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,0
