@RELATION stories
@ATTRIBUTE total_characters  NUMERIC
@ATTRIBUTE main_characters   NUMERIC
@ATTRIBUTE secondary_characters  NUMERIC
@ATTRIBUTE ratio_characters   NUMERIC
@ATTRIBUTE length   NUMERIC
@ATTRIBUTE total_facts   NUMERIC
@ATTRIBUTE ratio_characters_facts   NUMERIC
@ATTRIBUTE evolution   NUMERIC
@ATTRIBUTE main_character_actions   NUMERIC
@ATTRIBUTE total_actions   NUMERIC
@ATTRIBUTE ratio_actions   NUMERIC
@ATTRIBUTE love_level   NUMERIC
@ATTRIBUTE hate_level   NUMERIC
@ATTRIBUTE drama_level   NUMERIC
@ATTRIBUTE fun_level   NUMERIC
@ATTRIBUTE plausibility   NUMERIC
@ATTRIBUTE has_date   NUMERIC
@ATTRIBUTE has_time   NUMERIC
@ATTRIBUTE has_weather   NUMERIC
@ATTRIBUTE class        {interesting,notinteresting}

@DATA
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.21763356029987335,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.17587795853614807,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,1,0,0,0,0.1776728481054306,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,notinteresting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.23736411333084106,0,0,1,interesting
3,2,1,0.6666666666666666,16,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,1,0,0,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.16118906438350677,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.2156950831413269,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.17140300571918488,0,0,1,interesting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.15712228417396545,0,0,1,interesting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.2169424593448639,0,0,1,interesting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.21763356029987335,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.21583940088748932,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.16118906438350677,0,0,1,notinteresting
3,2,1,0.6666666666666666,14,4,0.75,2,3,5,0.6,0,1,1,0,0.21038995683193207,0,0,0,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.21898791193962097,1,1,0,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.21038995683193207,0,0,1,interesting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.21898791193962097,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.21898791193962097,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.15712228417396545,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.21790717542171478,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,1,interesting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.18536169826984406,0,0,1,notinteresting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.19972480833530426,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.2156950831413269,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.15712228417396545,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.21583940088748932,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.21583940088748932,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.2156950831413269,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,interesting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.15712228417396545,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.16118906438350677,0,0,1,interesting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,1,0,0,0,0.20512232184410095,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.21240830421447754,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.15712228417396545,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.22474411129951477,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.21898791193962097,0,0,1,notinteresting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.20871993899345398,0,0,1,notinteresting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.2169424593448639,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.1776728481054306,0,0,1,interesting
